Season,Team_Code,Game_Number,Home_Away,Opponent,GF,GA,Points,F_count,D_count,G_count,F_cost,D_cost,G_cost,Total_injuries,LowerBody_Count,UpperBody_Count,Players_Out,Opp_Players_Out,Money_InStands,Opp_Money_InStands,5v5_CF,5v5_CA,5v5_SF,5v5_SA,Playoffs_Bin,Playoffs
2021,TOR,29,Home,COL,1.5330937932859400,4.48631254857393,101,13,5,3,28650021.127461200,16523218.043018000,9887368.760291730,3,2,1,3,3,551446.8519549680,1879806.4011958100,54.43377075450540,67.57114831086010,25.06796215118750,32.41665265548390,1,Yes
2018,COL,47,Away,LAK,2.7484619945392800,4.067088281512620,116,10,6,3,28343534.70964200,32350435.35264360,7876043.260854000,1,0,5,4,3,1246349.1250830900,582734.8859026780,50.001035143496900,66.99728630064020,30.10056092297530,37.8199074928853,1,Yes
2022,CHI,68,Home,CHI,2.9440324549059700,3.0643370671307700,85,10,7,3,31855680.27501130,19568779.149685900,13332459.202544500,2,3,3,4,5,732264.0224303410,1730962.3405317200,53.473702417907500,53.44482620107010,20.609930957055100,29.923518522022300,0,No
2019,TOR,76,Away,CHI,1.55757683046917,1.690922727859930,84,13,5,2,56432106.83879250,22976126.858306000,13758789.33891700,7,1,1,5,1,774384.388943127,556546.085634006,57.119937369423700,48.23237894907050,22.636207469949200,36.4944632815384,1,Yes
2021,LAK,45,Away,COL,2.279439626235100,3.9941205431571300,69,14,7,3,41896593.61518900,25387851.57655170,8104904.018675870,6,0,1,4,0,1047571.3500389000,1050754.438542530,53.06767474038130,51.79511303692790,37.73179192337890,28.04312763687940,1,Yes
2017,COL,2,Home,CHI,3.780869469366410,3.296935524531630,118,12,7,2,49356215.08007480,37700377.23437440,17771086.21837210,1,5,3,6,2,1148655.7500747500,1313449.9634316200,52.44540550904790,51.63292985589250,35.033595340628500,22.04788925586350,0,No
2021,NYR,27,Away,BOS,1.9113291171870000,1.8447989911787000,104,14,7,3,33862350.39266190,21064456.65184560,6263965.492337770,5,4,0,0,0,1434758.6367982800,722151.1979406910,61.9817024623992,48.60600624948380,28.457368181181700,21.230114729172800,0,No
2022,NYR,36,Home,BOS,3.1059303943577700,1.7815718544700700,78,12,7,2,36308630.82660900,17282720.063616800,10341396.277496300,8,1,5,1,5,611642.6276577730,1619470.7188536200,60.57628825259390,48.057388129989,30.343007245677500,21.02668742647360,0,No
2019,COL,36,Home,COL,2.1456056160517100,4.228880458309780,70,13,5,3,25022623.145490100,22967240.09976310,15205766.206437800,3,5,3,6,6,1255537.641856170,512532.0562582080,64.99813846107540,65.83188809439160,27.399977719199500,27.603002839153400,0,No
2018,LAK,26,Home,LAK,1.5363623239316800,3.5076007888142400,72,10,5,2,26851798.312866800,17616899.263388300,9111805.45728801,8,5,4,6,3,773937.6953796520,752898.5726510550,47.49876943718490,42.09585762053990,34.81559734321350,26.74475501671680,0,No
2022,COL,43,Home,TOR,2.2236043727986200,3.9878603979502700,112,10,5,3,53094262.193045800,18214912.149013800,17415127.921719100,1,5,2,3,1,1360962.762547610,1371195.2447802100,58.28585529262190,60.32833546298780,35.68374358464160,34.35874047245140,0,No
2022,CHI,27,Away,NYR,4.427621264730160,4.136936700846800,67,14,7,2,43393545.26755530,29346264.949375700,16098017.399006100,1,5,3,0,1,1456106.9183917800,1571581.3430559400,57.555843561785600,45.18460154369360,35.26570380406320,34.856430031697300,1,Yes
2017,CHI,69,Home,TOR,3.9046113356489700,3.2153170561449700,99,10,7,3,33501298.635352800,16522548.327487300,16835342.668222000,8,5,1,5,2,1335063.884829280,1874964.6540408700,51.09213432618070,50.335176801821900,34.452234496689000,21.017079376674800,1,Yes
